target_id	length	eff_length	est_counts	tpm
ENSDART00000189431.1	11	12	0	0
ENSDART00000189226.1	10	11	0	0
ENSDART00000172037.2	344	150.113	0	0
ENSDART00000165410.2	350	155.511	0	0
ENSDART00000163675.2	339	145.651	0	0
ENSDART00000172374.2	355	159.907	0	0
ENSDART00000161368.2	354	159.032	0	0
ENSDART00000171132.2	338	144.762	0	0
ENSDART00000170804.2	366	169.802	0	0
ENSDART00000160762.2	345	151.004	0	0
ENSDART00000167067.2	378	180.718	0	0
ENSDART00000161271.2	334	141.312	0	0
ENSDART00000163938.2	366	169.802	0	0
ENSDART00000161622.2	445	244.141	0	0
ENSDART00000162257.2	426	225.88	0	0
ENSDART00000158119.2	318	127.485	0	0
ENSDART00000169491.2	387	189.044	0	0
ENSDART00000172528.2	396	197.466	0	0
ENSDART00000166253.2	411	211.589	0	0
ENSDART00000160948.2	323	131.774	0	0
ENSDART00000161537.2	377	179.824	0	0
ENSDART00000159235.2	348	153.701	0	0
ENSDART00000171772.2	483	281.097	0	0
ENSDART00000167404.2	357	161.716	0	0
ENSDART00000171344.2	462	260.619	0	0
ENSDART00000168039.2	470	268.387	0	0
ENSDART00000157830.2	431	230.706	0	0
ENSDART00000166182.2	372	175.264	0	0
ENSDART00000167805.2	378	180.718	0	0
ENSDART00000159795.2	419	219.186	0	0
ENSDART00000160202.2	378	180.718	0	0
ENSDART00000163851.2	330	137.811	0	0
ENSDART00000161463.2	417	217.313	0	0
ENSDART00000164491.2	366	169.802	0	0
ENSDART00000158772.2	348	153.701	0	0
ENSDART00000167409.2	420	220.133	0	0
ENSDART00000160204.2	348	153.701	0	0
ENSDART00000166882.2	420	220.133	0	0
ENSDART00000171020.2	383	185.339	0	0
ENSDART00000162456.2	366	169.802	0	0
ENSDART00000164309.2	390	191.844	0	0
ENSDART00000160996.2	369	172.594	0	0
ENSDART00000166892.2	332	139.563	2	0.654168
ENSDART00000171613.2	393	194.671	0	0
ENSDART00000164961.2	357	161.716	0	0
ENSDART00000164492.2	396	197.466	0	0
ENSDART00000158814.2	396	197.466	0	0
ENSDART00000171201.2	397	198.399	0	0
ENSDART00000164110.2	399	200.283	0	0
ENSDART00000166029.2	381	183.47	0	0
ENSDART00000165676.2	371	174.395	0	0
ENSDART00000163282.2	342	148.312	0	0
ENSDART00000167496.2	346	151.918	0	0
ENSDART00000164659.2	404	204.953	0	0
ENSDART00000164489.2	350	155.511	0	0
ENSDART00000160625.2	413	213.504	0	0
ENSDART00000169436.2	387	189.044	0	0
ENSDART00000170399.2	380	182.56	0	0
ENSDART00000162378.2	358	162.594	0	0
ENSDART00000169864.2	389	190.915	0	0
ENSDART00000164059.2	336	143.041	0	0
ENSDART00000168607.2	375	177.985	0	0
ENSDART00000161399.2	381	183.47	0	0
ENSDART00000171483.2	397	198.399	0	0
ENSDART00000171356.2	339	145.651	0	0
ENSDART00000172182.2	413	213.504	0	0
ENSDART00000113019.3	414	214.452	0	0
ENSDART00000170523.2	375	177.985	0	0
ENSDART00000160187.2	385	187.178	0	0
ENSDART00000114271.4	416	216.353	0	0
ENSDART00000159161.2	423	223.024	0	0
ENSDART00000162061.2	314	124.166	0	0
ENSDART00000162709.3	4761	4557.63	2370.18	23.7395
ENSDART00000125149.3	3218	3014.63	0	0
ENSDART00000182440.1	3291	3087.63	96.2851	1.42352
ENSDART00000168177.2	3370	3166.63	0	0
ENSDART00000171570.2	1371	1167.63	0	0
ENSDART00000162972.3	1568	1364.63	72	2.40851
ENSDART00000007487.9	873	669.677	932	63.5303
ENSDART00000168926.2	1724	1520.63	0	0
ENSDART00000171190.2	3169	2965.63	122.195	1.88091
ENSDART00000167950.2	667	463.776	32.756	3.22413
ENSDART00000165811.2	556	353.251	17.4712	2.25771
ENSDART00000170923.2	1670	1466.63	0	0
ENSDART00000169803.2	998	794.631	0	0
ENSDART00000169180.2	3210	3006.63	1260	19.1303
ENSDART00000165795.2	1002	798.631	0	0
ENSDART00000079649.6	641	437.858	0	0
ENSDART00000160925.2	4365	4161.63	105.467	1.15686
ENSDART00000188827.1	4409	4205.63	0	0
ENSDART00000159824.2	734	530.731	0	0
ENSDART00000171098.2	437	236.485	0	0
ENSDART00000160161.2	46	21.7143	0	0
ENSDART00000164734.2	55	16.2	0	0
ENSDART00000162964.2	49	19.7778	0	0
ENSDART00000163969.2	49	19.7778	0	0
ENSDART00000170440.2	46	21.7143	0	0
ENSDART00000157393.2	52	20.6	0	0
ENSDART00000166061.2	45	20.7143	0	0
ENSDART00000171447.2	49	19.7778	0	0
ENSDART00000168385.2	60	12.1333	0	0
ENSDART00000164889.2	63	12.6757	0	0
ENSDART00000167932.2	60	12.1333	0	0
ENSDART00000168960.2	63	12.6757	0	0
ENSDART00000160963.2	63	12.6757	0	0
ENSDART00000166210.2	60	12.1333	0	0
ENSDART00000172223.2	56	13.7895	0	0
ENSDART00000161734.2	64	12.439	0	0
ENSDART00000170448.2	57	13.4762	0	0
ENSDART00000161350.2	63	12.6757	0	0
ENSDART00000186687.1	63	12.6757	0	0
ENSDART00000158609.2	60	12.1333	0	0
ENSDART00000167576.2	63	12.6757	0	0
ENSDART00000186087.1	63	12.6757	0	0
ENSDART00000190142.1	66	11.8235	0	0
ENSDART00000180403.1	63	12.6757	0	0
ENSDART00000158148.2	63	12.6757	0	0
ENSDART00000166370.2	63	12.6757	0	0
ENSDART00000191760.1	63	12.6757	0	0
